Project Name,Package Name,Type Name,Design Smell,Cause of the Smell,,,Status,Justification
.,com.project.apidbtester.constants,GlobalConstants,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: JDBC_DRIVER; DB_CREDENTIALS_ID,,Resolved,
.,com.project.apidbtester.constants,GlobalConstants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: JDBC_DRIVER; DB_CREDENTIALS_ID,,,Resolved,
.,com.project.apidbtester.utils,ErrorResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: message,,Unresolved,It is DTO
.,com.project.apidbtester.clientdb,ClientDBCredentialsEntity,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: databaseId; databaseUrl; userName; password,,Unresolved,It is Entity
.,com.project.apidbtester.clientdb,ClientDBInfoService.ClientDBConnectionException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,,Resolved,
.,com.project.apidbtester.clientdb,ClientDBInfoService.ClientDBConnectionException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Resolved,
.,com.project.apidbtester.clientdb,ClientDBInfoService.ClientDBCredentialsNotFoundException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,,Resolved,
.,com.project.apidbtester.clientdb,ClientDBInfoService.ClientDBCredentialsNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Resolved,
.,com.project.apidbtester.clientdb.constants,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: TABLE; TABLE_CAT; TABLE_SCHEM; TABLE_NAME; SEQ; COLUMN_NAME; CLIENT_DB_CONNECTION_SUCCESSFUL; CLIENT_DB_CONNECTION_FAIL; CLIENT_DB_CREDENTIALS_NOT_FOUND,,,Unresolved,Constants need to be public
.,com.project.apidbtester.clientdb.constants,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: TABLE; TABLE_CAT; TABLE_SCHEM; TABLE_NAME; SEQ; COLUMN_NAME; CLIENT_DB_CONNECTION_SUCCESSFUL; CLIENT_DB_CONNECTION_FAIL; CLIENT_DB_CREDENTIALS_NOT_FOUND,,,Unresolved,Constants do not have implementation
.,com.project.apidbtester.clientdb.dtos,ClientDBMetaData,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: primaryKeyList; columnsList,,Unresolved,It is DTO
.,com.project.apidbtester.clientdb.dtos,ClientDBMetaData,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Unresolved,It is used
.,com.project.apidbtester.clientdb.dtos,TestClientConnectionResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: message,,Unresolved,It is DTO
.,com.project.apidbtester.testapis.constants,Constants,Deficient Encapsulation,The tool detected the smell in this class because the class exposes fields belonging to it with public accessibility. Following fields are declared with public accessiblity: JDBC_DRIVER; COLUMN_NAME; TEST_CASE_NOT_FOUND_EX_MSG; TEST_CASES_NOT_FOUND_EX_MSG; TEST_CASE_DELETED_SUCCESSFULLY_MSG; INVALID_REQUEST; UNABLE_TO_CONNECT_CLIENT; INVALID_API_REQUEST_TYPE,,,Unresolved,Constants need to be public
.,com.project.apidbtester.testapis.constants,Constants,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: JDBC_DRIVER; COLUMN_NAME; TEST_CASE_NOT_FOUND_EX_MSG; TEST_CASES_NOT_FOUND_EX_MSG; TEST_CASE_DELETED_SUCCESSFULLY_MSG; INVALID_REQUEST; UNABLE_TO_CONNECT_CLIENT; INVALID_API_REQUEST_TYPE,,,Unresolved,Constants do not have implementation
.,com.project.apidbtester.testapis.dtos,ColumnResult,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: columnName; expectedValue; actualValue; passed,,Unresolved,Dto do Not have implementation
.,com.project.apidbtester.testapis.dtos,ColumnResult,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Unresolved,It is used
.,com.project.apidbtester.testapis.dtos,TestInput,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: testCaseDetails; columnValues,,Unresolved,Dto do Not have implementation
.,com.project.apidbtester.testapis.dtos,TestResponse,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: httpStatusCode; httpErrorMsg; allTestPassed; columnValues,,Unresolved,Dto do Not have implementation
.,com.project.apidbtester.testapis.controllers,TestApiController.InvalidRequestTypeException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,,Unresolved,Required for exception handling
.,com.project.apidbtester.testapis.controllers,TestApiController.InvalidRequestTypeException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Unresolved,Required for exception handling
.,com.project.apidbtester.testapis.services,PostApiService,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: fetchTestResult,,,Resolved,
.,com.project.apidbtester.testapis.services,TestCasesService.TestCaseNotFoundException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,,Resolved,
.,com.project.apidbtester.testapis.services,TestCasesService.TestCaseNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Resolved,
.,com.project.apidbtester.testapis.services,TestCasesService.TestCasesNotFoundException,Unnecessary Abstraction,The tool detected the smell in this class because the class contains only a few data members without any method implementation, that indicates that the abstraction might not be required. Following fields are declared in this class: ,,Resolved,
.,com.project.apidbtester.testapis.services,TestCasesService.TestCasesNotFoundException,Unutilized Abstraction,The tool detected the smell in this class because this class is potentially unused. (Please ignore the smell if the reported class is auto-generated and/or used to serve a specific known purpose.),,,Resolved,
.,com.project.apidbtester.testapis.services,PutApiService,Imperative Abstraction,The tool detected the smell in this class because it looks like that an operation is turned into a class. This class contains only the following public method: fetchTestResult,,,Resolved,
.,com.project.apidbtester.testapis.entities,TestColumnValue,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; columnName; expectedValue; actualValue; passed; testCaseDetails,,,Unresolved,Entity do not have implementation
.,com.project.apidbtester.testapis.entities,TestCaseDetails,Broken Modularization,The tool detected the smell in this class because it contains only data members without any method implementation. Following fields are declared in this class: id; type; url; payload; tableName; primaryKeyName; primaryKeyValue; httpStatusCode; httpErrorMsg; passed,,,Unresolved,Entity do not have implementation
