Project Name,Package Name,Type Name,Method Name,Test Smell,Cause of the Smell,,,,,,,,,,,,Status,Justrification
.,com.project.apidbtester,PutApiServiceTest,testFetchTestResult_ConnectException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,PutApiServiceTest,testFetchTestResult_ClientAPIErrorResponse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,TestCasesControllerTest,testFetchAllTestCases,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,TestCasesControllerTest,testFetchAllTestCases,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.project.apidbtester.testapis.services.TestCasesService.fetchAllTestCases; com.project.apidbtester.testapis.controllers.TestCasesController.fetchAllTestCases,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,TestCasesControllerTest,testFetchTestCaseById,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,TestCasesControllerTest,testFetchTestCaseById,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.project.apidbtester.testapis.services.TestCasesService.fetchTestCaseById; com.project.apidbtester.testapis.controllers.TestCasesController.fetchTestCaseById,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,TestCasesControllerTest,testDeleteTestCaseById,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,TestCasesControllerTest,testDeleteTestCaseById,Eager test,The tool detected the smell in this test method because the test checks the results of more than one method from class under test. The called methods are: com.project.apidbtester.testapis.services.TestCasesService.deleteTestCaseById; com.project.apidbtester.testapis.controllers.TestCasesController.deleteTestCaseById,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,DeleteApiServiceTest,testFetchTestResult_ConnectException,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,,,,,,,,,,,,Resolved,
.,com.project.apidbtester,DeleteApiServiceTest,testFetchTestResult_ClientAPIErrorResponse,Assertion roulette,The tool detected the smell in this test method because the test uses multiple assertion in the test. Total number of assertions in the test are: 2,,,,,,,,,,,,Resolved,
